Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Захарченко,Володимира,Мирославівна,Жінка,28.11.1939,Мовознавець,селище Остер ,"вулиця 2-га Суворовська, буд. 6, Горлівка, 97167",047 555-93-65,bashpolchenkohavrylo@example.com
Палій,Лукʼян,Данилович,Чоловік,30.08.1960,Інженер,село Вознесенівка,"шосе Хвойний, буд. 3 кв. 3, Інкерман, 52050",+380 08 424-31-83,dannakalchenko@example.org
Петлюра,Альберт,Миронович,Чоловік,08.04.1997,Мінералог,селище Горохів,"набережна Балтський 4-й, буд. 37, Сіверськ, 57648",+380 58 559 21 63,nazarhaidabura@example.org
Масоха,Василь,Артемович,Чоловік,12.09.1978,Скульптор,місто Снігурівка,"парк Академіка Заболотного, буд. 194 кв. 199, Полонне, 44642",+380 00 656-73-10,tsiupaserhii@example.org
Єрченко,Альбіна,Варфоломіївна,Жінка,15.05.1956,Флорист,хутір Путивль,"узвіз Парусна, буд. 68 кв. 1, Керч, 55032",+380 06 327-43-52,okhrimdzyndra@example.org
Кальченко,Едита,Богодарівна,Жінка,12.12.1963,Складальник,місто Тростянець,"проспект Могилівська, буд. 43, Великі Мости, 41163",+380 (45) 681-09-91,schernenko@example.com
Оробець,Остап,Соломонович,Чоловік,05.12.1977,Співак,місто Зеленодольськ,"сквер Вапняне селище, буд. 440 кв. 654, Ковель, 75524",040 187-22-51,huzenkonadiia@example.org
Кабаненко,Стефан,Варфоломійович,Чоловік,23.09.1979,Футболіст,місто Теплодар,"узвіз Дмитрія Донського, буд. 36 кв. 2, Богуслав, 04845",928-47-67,liubovzaika@example.net
Артюх,Хома,Вʼячеславович,Чоловік,18.10.1982,Кушнір,селище Ізяслав,"парк Лінія 44-та, буд. 5 кв. 3, Лебедин, 82211",160 55 86,karpaboleslav@example.org
Тичина,Амалія,Францівна,Жінка,03.02.1979,Антрополог,місто Амвросіївка,"площа Бузковий 1-й, буд. 415, Підгородне, 27533",055 967 40 72,babychpavlo@example.net
Гресь,Юхим,Арсенович,Чоловік,31.10.1949,Епідеміолог,місто Новий Буг,"парк Лесі Українки, буд. 826, Саки , 73650",031-84-18,malykhennadii@example.com
Демʼянюк,Йосип,Мирославович,Чоловік,04.05.2005,Мікробіолог,хутір Судова Вишня,"проспект Преображенська, буд. 586 кв. 0, Чернівці, 90460",+380 77 119-17-05,franchukzakhar@example.com
Черінько,Михайлина,Гаврилівна,Жінка,08.07.1962,Ріелтор,селище Баранівка,"провулок Високий, буд. 9, Хуст, 46581",048 495-09-00,edytakozachenko@example.org
Малишко,Лесь,Михайлович,Чоловік,26.05.2000,Бізнесмен,хутір Шпола,"проспект Бодаревського, буд. 3, Прип'ять , 38591",844 80 84,danzaruba@example.net
Ткач,Ірина,Тимофіївна,Жінка,24.06.1949,Програміст,хутір Селидове,"вулиця Магнітогорський 2-й, буд. 3 кв. 2, Южноукраїнськ, 22331",+380 (94) 843-60-32,andrii30@example.com
Ґоляш,Валентина,Пантелеймонівна,Жінка,17.06.1991,Петрограф,селище Нікополь,"площа Іванова 2-й, буд. 69, Зугрес, 54481",+380 (25) 407-36-21,danylenkokyrylo@example.com
Бабак,Емілія,Опанасівна,Жінка,22.03.1982,Парфюмер,село Черкаси,"шосе Осипова, буд. 58 кв. 3, Докучаєвськ, 23091",+380 86 573-90-99,svitlana37@example.net
Карась,Григорій,Орестович,Чоловік,26.04.1945,Хореограф,селище Коростень,"площа Прохоровський, буд. 34, Коломия, 25080",+380 79 094-71-18,ievhenvelychko@example.com
Ярош,Венедикт,Глібович,Чоловік,14.03.1999,Антрополог,селище Роздільна,"парк Кримський, буд. 3, Золоте, 70163",908 31 10,trokhym63@example.org
Андрієвич,Варфоломій,Бориславович,Чоловік,04.06.2004,Публіцист,селище П'ятихатки,"площа Пішонівська, буд. 52, Радомишль, 43885",+380 55 175-54-93,tryhuboksana@example.com
Ляшко,Арсен,Єлисейович,Чоловік,04.12.1995,Будник,місто Могилів-Подільський,"парк Панченка, буд. 841 кв. 16, Теребовля, 32728",+380 80 063-16-82,jumanets@example.net
Вахній,Данна,Романівна,Жінка,24.12.1965,Кур'єр,місто Любомль,"проспект Лінія 46-та, буд. 59, Старий Самбір, 28319",+380 26 682-00-60,adam26@example.com
Андріїшина,Тетяна,Геннадіївна,Жінка,16.01.1980,Науковець,місто Рівне,"площа Жевахова, буд. 206, Сновськ, 18185",001 193-50-27,volodymyraprotsenko@example.com
Дергач,Варвара,Мартинівна,Жінка,22.02.1979,Геолог,місто Самбір,"провулок Лютнева, буд. 5, Скадовськ, 12980",084 065-03-69,symontkach@example.net
Салій,Ярослав,Тимофійович,Чоловік,14.12.1987,Кінорежисер,селище Берестечко,"узвіз Басейний 1-й, буд. 9 кв. 756, Кам'янське, 89685",049 313 01 71,ahavryliuk@example.com
Яремків,Євген,Хомович,Чоловік,06.09.2005,Громадський діяч,місто Кальміуське,"узвіз 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 7 кв. 5, Глухів, 98372",+380 (92) 495-84-54,danyloderkach@example.com
Девдюк,Анастасія,Германівна,Жінка,31.03.1991,Мистецтвознавець,село Тячів,"шосе Молодіжна, буд. 02 кв. 2, Могилів-Подільський, 96110",+380 24 881-90-93,tymchenkoamvrosii@example.com
Матвієнко,Адам,Давидович,Чоловік,11.02.1985,Конструктор,хутір Ямпіль,"узвіз Десятого квітня, буд. 7 кв. 24, Марганець , 89508",022-93-69,zasenkopriska@example.org
Гуцуляк,Варфоломій,Павлович,Чоловік,25.09.1997,Каскадер,хутір Залізне,"проспект Новгородська, буд. 133 кв. 83, Новояворівськ, 17986",882 65 92,hermansymonenko@example.org
Мамчур,Мілена,Охрімівна,Жінка,05.09.1957,Соціолог,місто Бердянськ,"сквер Коблевська, буд. 0 кв. 2, Новий Калинів, 68102",697 01 36,nadiiavoblyi@example.org
Царенко,Макар,Михайлович,Чоловік,14.07.1960,Мінералог,хутір Южне,"шосе Котляревського, буд. 452 кв. 774, Бурштин , 25327",871 70 47,xievdokymenko@example.org
Бабійчук,Хома,Хомович,Чоловік,04.12.1969,Журналіст,село Ніжин,"шосе Довга, буд. 454, Мерефа, 46604",188-50-80,valeriisirobaba@example.org
Єременко,Давид,Олегович,Чоловік,12.05.1944,Продюсер,село Вишгород,"набережна Дальницька, буд. 2 кв. 9, Куп'янськ, 23373",586-87-84,iaroslavapetliura@example.net
Бебешко,Хома,Олександрович,Чоловік,20.02.1950,Редактор,місто Тальне,"набережна Чубаївський, буд. 6 кв. 9, Шпола, 97418",299 93 56,ngereta@example.net
Рубець,Ганна,Макарівна,Жінка,30.06.1993,Підприємець,селище Канів,"шосе Рельєфна, буд. 50, Боково-Хрустальне, 43345",017 87 92,bdakhno@example.net
Шиян,Григорій,Ростиславович,Чоловік,29.07.1946,Маркетолог,місто Стрий,"провулок Герцена, буд. 23 кв. 75, Долинська, 75791",106 48 87,chalenkoarkadii@example.com
Авраменко,Соломія,Михайлівна,Жінка,14.07.2007,Музичний редактор,село Довжанськ,"провулок Рівності, буд. 15 кв. 52, Золотоноша, 95854",003 047-17-82,dmytrozhadan@example.net
Єрмоленко,Василь,Олесьович,Чоловік,11.04.1945,Машиніст,місто Корюківка,"парк Східний, буд. 44 кв. 45, Новоселиця, 26025",+380 49 434-65-87,dmytro52@example.org
Редько,Аарон,Яковович,Чоловік,02.11.1945,Гицель,хутір Сєвєродонецьк,"парк Липнева, буд. 9, Старобільськ, 66974",058 881 97 52,lonishchuk@example.org
Ковпак,Стефан,Ігорович,Чоловік,26.10.1998,Бухгалтер,місто Вільногірськ,"сквер Миколи Гумільова, буд. 175 кв. 12, Костопіль, 53943",059-88-77,vitalii78@example.org
Ващук,Федір,Лукʼянович,Чоловік,20.12.1985,Стропальник,селище Благовіщенське,"парк 11-та Лінія Марії Демченко, буд. 777, Глухів, 25751",771 07 69,onishchukhennadii@example.net
Доценко,Дан,Амвросійович,Чоловік,23.01.1985,Мікробіолог,село Белз,"узвіз Глазунова, буд. 782, Сєвєродонецьк, 41189",091 730-48-82,omelian82@example.org
Ніколюк,Галина,Юстимівна,Жінка,05.06.1955,Дизайнер,місто Олександрівськ,"провулок Жевахова, буд. 90, Тальне, 76165",+380 (61) 039-91-41,xhaidenko@example.org
Палій,Надія,Алевтинівна,Жінка,14.04.1992,Державний службовець,село Долина ,"вулиця Андреєвського, буд. 79, Ніжин, 93655",+380 02 594-17-33,vdovychenkoleon@example.org
Аверченко,Марта,Прохорівна,Жінка,11.07.1941,Живописець,село Старий Крим,"проспект Проїзний 2-й, буд. 1, Таврійськ, 40543",043-53-83,artemenkoliliia@example.org
Чередник,Макар,Яковович,Чоловік,28.07.1973,Музичний редактор,місто Вознесенськ,"парк Маріїнська, буд. 14, Балта, 15600",055 207 45 21,edyta76@example.net
Свириденко,Богуслава,Охрімівна,Жінка,16.08.2006,Астронавт,місто Сорокине,"провулок Новоселів, буд. 5 кв. 039, Остер , 23947",+380 (21) 779-10-42,anastasiialysenko@example.com
Мірошниченко,Миколай,Богуславович,Чоловік,05.06.1944,Психолог,хутір Ясинувата,"парк Грецька, буд. 257, Тисмениця, 25775",072 750-52-71,halekseienko@example.com
Бабʼяк,Мілена,Симонівна,Жінка,27.05.1988,Ювелір,селище Первомайськ,"шосе Тепличний 2-й, буд. 7 кв. 14, Нова Каховка, 94692",+380 07 968-24-93,boryslav94@example.com
Юрченко,Юстина,Віталіївна,Жінка,02.06.1961,Дизайнер,село Українка ,"проспект Перша, буд. 993 кв. 7, Буринь, 96109",059 804 99 46,rpushkar@example.org
Яценюк,Антон,Петрович,Чоловік,22.09.1982,Сценарист,хутір Рава-Руська,"площа Олександрівський, буд. 05, Городенка, 81207",+380 16 609-38-38,prokhir14@example.com
Парасюк,Гаврило,Адамович,Чоловік,24.06.1990,Геолог,хутір Пустомити,"вулиця Лиманчик 2-й Лінія 4-та, буд. 636 кв. 703, Жидачів, 05800",+380 71 803-48-73,antonhrechko@example.net
Арсенич,Валентина,Адамівна,Жінка,22.11.1993,Модель,село Новий Буг,"сквер Сурикова 2-й, буд. 406, Підгайці, 27368",234-00-44,babychenkoborys@example.com
Дрозд,Богуслав,Яковович,Чоловік,02.01.1952,Журналіст,хутір Нікополь,"набережна Соляна, буд. 202 кв. 038, Корець, 17711",073 515-19-84,tgerega@example.com
Байда,Емілія,Сергіївна,Жінка,06.01.1947,Державний службовець,селище Вижниця,"шосе Академіка Панкратової, буд. 1 кв. 8, Зоринськ, 34004",+380 10 382-24-76,irynahuzii@example.com
Черінько,Семен,Аркадійович,Чоловік,04.04.1987,Інженер,село Здолбунів,"проспект Ползунова 2-й, буд. 861 кв. 9, Моршин, 26548",045 199 04 56,zaikamakar@example.com
Артюх,Едуард,Зиновійович,Чоловік,08.11.1955,Хімік,село Каховка,"узвіз Сєрогодського, буд. 018, Городок, 75393",+380 19 948-78-87,ziesypenko@example.org
Бебешко,Опанас,Орхипович,Чоловік,14.02.1982,Стропальник,селище Чорнобиль,"узвіз Марсельська, буд. 374, Ланівці, 43687",679 82 33,havrylenkoamaliia@example.com
Пелех,Гордій,Владиславович,Чоловік,22.04.1981,Музичний редактор,хутір Ланівці,"шосе Володимира Вінниченка, буд. 871, Березне, 79391",327-63-42,ivan95@example.net
Жайворон,Олекса,Станіславович,Чоловік,05.03.1995,Хореограф,село Мар'їнка,"шосе Рівності, буд. 227, Кагарлик, 72949",527-91-82,olehkharchenko@example.net
Гаврилюк,Ярема,Аврелійович,Чоловік,22.08.1992,Шериф,село Бунге ,"площа Дачний 1-й, буд. 9 кв. 622, Стебник, 63588",+380 50 267-53-69,veniiamyn03@example.net
Фаренюк,Віктор,Болеславович,Чоловік,11.05.1962,Астронавт,селище Новодружеськ,"сквер Олександра Невського 5-й, буд. 0, Радомишль, 71282",+380 (80) 048-01-46,vadymsemenchenko@example.org
Дуплій,Омелян,Макарович,Чоловік,04.06.1943,Медик,селище Ланівці,"сквер Восьмого березня 2-й, буд. 427, Вижниця, 21222",228-90-79,wshamrai@example.net
Бабʼяк,Демид,Вікторович,Чоловік,21.04.2005,Мікробіолог,село Узин,"узвіз Іванова, буд. 707 кв. 9, Черкаси, 34968",065 687 84 19,liubovmykytiuk@example.com
Бабич,Алла,Романівна,Жінка,13.12.1938,Біолог,місто Мена ,"вулиця 6-та Суворовська, буд. 449 кв. 77, Хотин, 23906",037 248 94 47,mykhailo77@example.net
Усик,Орест,Євгенійович,Чоловік,06.08.1990,Співак,село Ясинувата,"узвіз Вчительської, 2-й, буд. 19, Карлівка, 60976",+380 31 892 15 64,klavdiiateslia@example.org
Скопенко,Ірена,Спасівна,Жінка,14.11.1975,Журналіст,хутір Вінниця,"провулок Миколаївський 1-й, буд. 63, Українськ, 48478",597 76 35,rvatamaniuk@example.com
Артюх,Гліб,Зиновійович,Чоловік,07.07.1964,Музикант,хутір Кілія,"площа Басейний 6-й, буд. 143, Лутугине, 85895",+380 (98) 946-81-04,okseniiatereshchenko@example.org
Захарченко,Артем,Опанасович,Чоловік,01.09.1952,Літературознавець,селище Верхньодніпровськ,"вулиця Нечипуренка, буд. 3, Суми, 42769",+380 (99) 657-73-83,illiapalii@example.com
Малик,Соломія,Тарасівна,Жінка,05.12.1952,Секретар,хутір Кремінна,"парк Космонавтів, буд. 852, Новодністровськ, 48678",+380 (03) 199-19-15,sshynkarenko@example.org
Олійник,Азар,Мирославович,Чоловік,14.07.1961,Кіноактор,село Армянськ,"проспект Академічний, буд. 489 кв. 5, Токмак, 70036",076 983 73 52,vdanylenko@example.org
Терещенко,Марта,Павлівна,Жінка,22.06.2008,Модельєр,село Тальне,"набережна Миколи Бажана, буд. 448 кв. 9, Інкерман, 67003",+380 (90) 228-81-06,babaksolomiia@example.net
Андрощук,Августин,Несторович,Чоловік,20.01.1977,Флорист,хутір Лиман ,"площа Садова 2-га, буд. 672 кв. 435, Новоазовськ, 87422",+380 98 617-74-45,iustymdotsenko@example.net
Даниленко,Андрій,Вадимович,Чоловік,04.07.1944,Музикознавець,селище Сквира,"проспект Бернардацці, буд. 379 кв. 225, Хрустальний, 37950",050 50 96,mariiagerus@example.com
Аврамчук,Богдан,Демʼянович,Чоловік,26.12.1957,Ґрунтознавець,місто Зимогір'я,"проспект 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 436, Бровари, 58254",+380 25 068-49-10,rozaliia69@example.com
Міщенко,Златослава,Іллівна,Жінка,23.07.2000,Каскадер,село Бережани,"вулиця Аркадіївський, буд. 64, Жидачів, 29675",+380 (88) 636-66-55,hprymachenko@example.net
Іваничук,Святослав,Дмитрович,Чоловік,06.10.1938,Футболіст,місто Чигирин,"провулок Троїцька, буд. 99 кв. 39, Шумськ, 09340",+380 97 582-35-46,solomon61@example.org
Петлюра,Руслан,Стефанович,Чоловік,07.01.1964,Фермер,хутір Шепетівка,"набережна Старосінна, буд. 238, Тетіїв, 80526",+380 (52) 814-93-98,rakhlib@example.net
Петренко,Галина,Леонідівна,Жінка,13.01.1985,Географ,село Коростишів,"парк Локомотивна, буд. 63 кв. 14, Новомосковськ, 54821",+380 (92) 632-92-61,udavymuka@example.net
Верес,Онисим,Данилович,Чоловік,20.12.1961,Електромонтажник,село Бібрка,"шосе 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 317 кв. 1, Рівне, 36964",+380 (40) 941-15-22,elysenko@example.net
Забашта,Ілля,Богуславович,Чоловік,19.10.1967,Інженер,хутір Дніпро ,"набережна Проектований 3-й, буд. 2 кв. 635, Маріуполь, 58145",+380 (35) 844-03-60,rdanko@example.org
Черненко,Григорій,Йосипович,Чоловік,05.01.1975,Електрослюсар,село Ківерці,"шосе Новаторів, буд. 214, Ізяслав, 43235",+380 58 378-57-41,allalupii@example.com
Годунок,Юстина,Богуславівна,Жінка,13.12.1955,Професор,село Глухів,"проспект Технічний, буд. 005, Красноград, 69697",065 099 63 80,zhalilomarta@example.com
Дрозденко,Святослава,Лесівна,Жінка,11.10.1981,Гірничий інженер,місто Миколаїв,"набережна Карпатська, буд. 9, Новоселиця, 14330",079 304 00 73,xdanylenko@example.net
Онищенко,Златослава,Сергіївна,Жінка,15.11.1974,Реставратор,місто Чигирин,"площа Економічний, буд. 78, Люботин, 14345",616 70 51,fastenkohavrylo@example.com
Іванченко,Маруся,Охрімівна,Жінка,20.09.1949,Штукатур,хутір Хотин,"вулиця 4-та Лінія Марії Демченко, буд. 28 кв. 4, Роздільна, 63136",078 643-81-29,roman49@example.com
Алексюк,Галина,Несторівна,Жінка,17.11.1969,Літературознавець,хутір Путивль,"набережна Рівності 2-й, буд. 35 кв. 0, Часів Яр, 19632",+380 18 010-67-18,bturkalo@example.com
Ільченко,Лілія,Венедиктівна,Жінка,20.05.1964,Футболіст,село Дергачі,"узвіз Дунайська, буд. 881 кв. 406, Ізмаїл, 49951",+380 (61) 428-17-37,chornovilpanteleimon@example.com
Іванченко,Трохим,Теодорович,Чоловік,12.07.1967,Економіст,місто Дніпрорудне,"набережна Тополина, буд. 153 кв. 571, Тростянець, 18769",+380 99 834-53-80,anzhelaskopenko@example.com
Єременко,Олег,Августинович,Чоловік,04.04.1950,Юрист,селище Армянськ,"сквер Амурський 4-й, буд. 33 кв. 408, Погребище, 48195",+380 27 428-00-80,kadeniuksofiia@example.com
Дрозд,Аніта,Гордіївна,Жінка,04.04.1983,Електромонтер,селище Глобине,"парк Лузанівський, буд. 251, Дніпро , 77500",+380 38 079 53 05,zlatoslavahohol-ianovskyi@example.net
Гузенко,Галина,Соломонівна,Жінка,22.09.1949,Реставратор,селище Лебедин,"проспект 12-та ст. Великого Фонтану пляж, буд. 74, Пирятин, 05484",744-05-77,tdavymuka@example.org
Орлик,Наталія,Пантелеймонівна,Жінка,05.10.1979,Круп'є,село Феодосія,"провулок Трудових резервів, буд. 3 кв. 140, Борислав, 04844",253 83 89,arkadii37@example.com
Байрак,Омелян,Хомович,Чоловік,25.07.1952,Локсмайстер,село Запоріжжя,"узвіз Орловський, буд. 589, Антрацит , 26562",010 521-34-50,anitastelmakh@example.net
Бабійчук,Віталій,Назарович,Чоловік,21.10.1946,Провізор,хутір Українка ,"площа 12-та Суворовська, буд. 69, Сміла, 90954",+380 15 451-74-30,asaulaartem@example.org
Вернидуб,Анжела,Валентинівна,Жінка,08.08.1990,Математик,село Знам'янка,"провулок Монгольська, буд. 59 кв. 689, Балта, 06020",+380 (74) 811-79-00,gkalchenko@example.org
Бабʼяк,Арсен,Гордійович,Чоловік,24.08.1991,Паблік рилейшнз,селище Буча,"площа Басейний 2-й, буд. 9 кв. 22, Гнівань, 57789",051 464 49 86,mshynkarenko@example.net
Кащенко,Богдан,Панасович,Чоловік,23.11.1993,Сценарист,місто Чугуїв,"шосе Самарська, буд. 56 кв. 4, Часів Яр, 57229",+380 95 459-57-22,marianatsymbaliuk@example.net
Гузь,Тимофій,Євгенійович,Чоловік,21.02.1986,Кінорежисер,хутір Южноукраїнськ,"проспект Архітекторська, буд. 551 кв. 87, Сміла, 76702",413-79-26,uoberemko@example.org
Артим,Людмила,Ростиславівна,Жінка,26.06.1959,Машиніст,місто Буча,"сквер Олександра Невського 5-й, буд. 95 кв. 03, Гадяч, 41497",+380 (43) 484-15-97,orysia78@example.com
Зінкевич,Леопольд,Ігорович,Чоловік,12.03.2004,Електрослюсар,село Нікополь,"площа Педагогічна, буд. 66 кв. 83, Рахів, 62802",076 017 25 61,cmishchenko@example.org
Токар,Варвара,Демидівна,Жінка,31.05.1954,Агроном,місто Міусинськ,"шосе Новаторів, буд. 582 кв. 3, Белз, 62588",004 222 91 64,bohdan59@example.net
Пелех,Ігнат,Пилипович,Чоловік,20.08.1944,Професор,місто Жашків,"провулок Старопортофранківська, буд. 340 кв. 0, Севастополь, 25028",+380 (83) 515-25-88,liukhymenko@example.net
Вахній,Веніямин,Теодорович,Чоловік,29.05.1952,Фольклорист,село Мирноград,"сквер Фонтанська дорога, буд. 3 кв. 09, Березань , 82465",+380 (96) 390-52-87,viacheslav39@example.org
Балабан,Єва,Вʼячеславівна,Жінка,08.11.2005,Громадський діяч,хутір Дунаївці,"вулиця Гаванна, буд. 19 кв. 164, Кам'янка-Дніпровська, 71719",056 070 08 49,panteleimon83@example.net
Кибкало,Хома,Симонович,Чоловік,29.06.1951,Біолог,село Одеса,"набережна Кавунова, буд. 95, Вуглегірськ, 81165",+380 33 515-58-08,nnesterenko@example.org
Єрченко,Богодар,Хомович,Чоловік,25.07.1970,Фрілансер,хутір Кілія,"вулиця Вчительська, буд. 174, Конотоп, 62845",+380 40 211-05-86,viktorkorzh@example.com
Рева,Руслан,Давидович,Чоловік,24.07.2003,Нотаріус,місто Тлумач,"площа Молодогвардійська, буд. 537, Моспине, 77146",500-01-92,eduardnestaiko@example.net
Єрмоленко,Галина,Степанівна,Жінка,07.03.1971,Реставратор,село Ірміно,"набережна Амурський 4-й, буд. 3 кв. 522, Карлівка, 63827",311-93-69,hutsuliakmykolai@example.com
Баранець,Вікторія,Ігорівна,Жінка,14.12.1947,Фермер,місто Марганець ,"вулиця Ветеранів праці, буд. 08, Корюківка, 74274",060 789 24 54,rprykhodko@example.org
Хорішко,Остап,Миколайович,Чоловік,30.11.1974,Випробувач,місто Брянка,"площа Лютеранський, буд. 8 кв. 290, Бар, 79012",065 621 57 15,edyta00@example.net
Андрійчук,Костянтин,Орхипович,Чоловік,02.11.1983,Соціолог,селище Білгород-Дністровський,"сквер Овідіопольська дорога, буд. 47, Путивль, 32467",050 947 51 72,odarkasatsiuk@example.com
Дашкевич,Марина,Спасівна,Жінка,22.08.1944,Намотувальник,селище Жмеринка,"набережна Бернардацці, буд. 55 кв. 7, Вовчанськ, 40199",469-39-13,andrusenkoserhii@example.net
Єсипенко,Віктор,Костянтинович,Чоловік,03.09.1975,Швачка,селище Лохвиця,"площа Бузковий 2-й, буд. 115, Христинівка, 42460",032 698-70-56,anitagoliash@example.org
Бабиченко,Альберт,Несторович,Чоловік,19.08.1951,Стоматолог,село Олевськ,"вулиця 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 698, Гайсин, 38070",+380 50 012-36-53,vadym03@example.com
Самойленко,Леонід,Аркадійович,Чоловік,20.12.1940,Дерун,хутір Брянка,"сквер Черепанових 2-й, буд. 8 кв. 568, Канів, 60336",009 765 89 29,edyta65@example.org
Верхола,Костянтин,Алевтинович,Чоловік,28.04.1973,Модель,хутір Угнів,"площа Гвардійська, буд. 099, Чоп, 47074",097 657 07 00,andrusenkoolha@example.net
Пилипенко,Ада,Іванівна,Жінка,01.05.1950,Підприємець,селище Очаків,"вулиця Хвойний, буд. 1 кв. 37, Новий Буг, 36219",+380 32 257-21-58,viacheslavpylypenko@example.org
Дейнеко,Георгій,Веніяминович,Чоловік,23.08.1952,Археолог,хутір Південне ,"сквер Мінська, буд. 46, Середина-Буда, 32658",+380 (79) 304-79-25,feofanhaievskyi@example.net
Швачка,Орина,Олександрівна,Жінка,05.01.1964,Соціолог,місто Переяслав,"узвіз Підйомний, буд. 26, Сміла, 85917",951-05-80,marusiavakulenko@example.net
Фартушняк,Єва,Кирилівна,Жінка,24.02.1981,Кінокритик,село Судова Вишня,"парк Кришталевий, буд. 778, Хотин, 73109",051 513 30 97,nskyba@example.net
Перебийніс,Мирослав,Едуардович,Чоловік,15.10.1968,Бухгалтер,село Чорнобиль,"набережна Станційна 2-га, буд. 3 кв. 57, Костопіль, 51476",+380 18 871 70 32,zhadankyrylo@example.org
Воблий,Костянтин,Гаврилович,Чоловік,14.07.1988,Футболіст,селище Тростянець,"набережна Канатний, буд. 20 кв. 1, Виноградів, 21580",025 666 40 75,liudmylakolisnychenko@example.net
Атаманюк,Наталія,Адамівна,Жінка,02.09.1967,Петрограф,хутір Герца,"площа Садова 2-га, буд. 844 кв. 50, Барвінкове, 10646",063 115-64-15,qiakymchuk@example.org
Колесниченко,Борислав,Гордійович,Чоловік,11.08.1977,Клавішник,село Монастирище,"сквер Карпатська, буд. 38, Роздільна, 50120",051 501-05-25,eduard27@example.org
Пелех,Тимофій,Ростиславович,Чоловік,09.06.1993,Бухгалтер,місто Світлодарськ,"площа Рівності, буд. 25 кв. 664, Рава-Руська, 59193",+380 81 290-65-09,uvakarchuk@example.com
Примаченко,Артем,Зорянович,Чоловік,05.05.1962,Дантист,селище Лохвиця,"проспект Шухевича Романа, буд. 3 кв. 48, Березівка, 06571",+380 89 766 38 41,lukianarsenych@example.com
Гайденко,Єлисей,Лукʼянович,Чоловік,05.08.1945,Графік,село Нове Давидково,"узвіз Ольгіївський узвіз, буд. 554 кв. 68, Дрогобич, 83641",+380 44 061 76 40,lizazaporozhets@example.org
Демиденко,Віолетта,Данівна,Жінка,26.01.1972,Кінолог,хутір Попасна,"парк Кленова, буд. 565, Монастирище, 67615",077 608 01 12,rchubai@example.net
Щербак,Варвара,Прохорівна,Жінка,27.06.2006,Швачка,хутір П'ятихатки,"площа Набережна, буд. 32, Київ, 41368",+380 87 519-04-05,rebrykrozaliia@example.net
Редько,Юстина,Тарасівна,Жінка,17.09.1981,Машиніст,хутір Хирів,"узвіз Кутузова, буд. 0, Антрацит , 50120",588 66 95,khoma61@example.com
Бабій,Христина,Федорівна,Жінка,27.10.1983,Бухгалтер,хутір Ковель,"площа Друга, буд. 605 кв. 2, Мена , 38316",053 822 14 07,yishchenko@example.net
Колесниченко,Христина,Павлівна,Жінка,27.11.2000,Реабілітолог,село Харків,"сквер Лядова, буд. 43, Борщів, 87270",+380 (05) 168-24-75,prokhirnosenko@example.org
Килимник,Данило,Олесьович,Чоловік,10.05.1983,Сантехнік,хутір Деражня,"шосе Агрономічна, буд. 759 кв. 7, Покров, 31940",081 045 42 37,rudykvira@example.com
Полтавець,Дмитро,Павлович,Чоловік,31.05.1997,Мікробіолог,хутір Стебник,"площа Асташкіна, буд. 60, Красногорівка, 87152",+380 75 446-81-15,dkorolenko@example.org
Романець,Яків,Михайлович,Чоловік,10.08.1993,Маркетолог,село Угнів,"шосе Водопровідний 2-й, буд. 68 кв. 94, Покров, 28240",096 613 43 78,varvarabevzenko@example.com
Опанасенко,Марко,Святославович,Чоловік,18.06.1971,Сантехнік,хутір Маріуполь,"вулиця Балтський 1-й, буд. 224 кв. 8, Золочів, 72143",+380 08 293 62 10,odarkakozak@example.com
Тимчук,Одарка,Богданівна,Жінка,20.10.1955,Гірничий інженер,місто Новоазовськ,"узвіз Василя Кандинського 1-й, буд. 9 кв. 3, Дубляни, 95354",+380 14 147 61 32,zakharenkovalentyna@example.org
Вернигора,Любов,Єфремівна,Жінка,22.05.1995,Стиліст,селище Сколе,"вулиця Лазурний 2-й, буд. 6, Мена , 99041",371 85 23,xsvyrydenko@example.org
Рубан,Тимофій,Пилипович,Чоловік,21.05.1994,Програміст,селище Вінниця,"сквер Метрополітенівський, буд. 327 кв. 51, Хмельницький, 36812",079 152 98 75,ivan18@example.org
Шаповал,Петро,Альбертович,Чоловік,20.12.1980,Мірошник,селище Монастирище,"набережна Івахненка Петра, буд. 19 кв. 7, Новодружеськ, 16492",072 206-40-33,dubynaanzhela@example.net
Рева,Тимофій,Зиновійович,Чоловік,06.05.1991,Стоматолог,хутір Оріхів,"парк Десятого квітня, буд. 4 кв. 83, Тульчин, 43070",103 52 09,bohdannaivanenko@example.net
Бандурка,Ліза,Мирославівна,Жінка,04.05.1939,Фотограф,хутір Хирів,"узвіз Майстерний, буд. 701, Бар, 13021",332-52-13,priskakanivets@example.org
Єрьоменко,Марина,Тарасівна,Жінка,01.05.1944,Реабілітолог,місто Нова Каховка,"сквер Басейний 4-й, буд. 209 кв. 43, Ананьїв, 49844",+380 (69) 250-89-62,oirvanets@example.org
